project_county_name,project_state,total_loans,kabbage_loans,percent_kabbage_loans,total_loans.x,kabbage_loans.x,percent_kabbage_loans.x,project_county_name.y.y,total_loans.y,kabbage_loans.y,percent_kabbage_loans.y,state_code,state_name,county_code,fips_code
LINCOLN,MS,1129,19,1.6829052258635961,1129,19,1.682905225863596,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,MT,395,NA,NA,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,NC,1113,NA,NA,1113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,NE,1415,2,0.1413427561837456,1415,2,0.1413427561837456,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,NM,411,1,0.24330900243309003,411,1,0.24330900243309003,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,NV,48,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,OK,1029,3,0.2915451895043732,1029,3,0.2915451895043732,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,OR,1015,7,0.6896551724137931,1015,7,0.6896551724137931,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,SD,2246,NA,NA,2246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,TN,800,3,0.375,800,3,0.375,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,WA,246,NA,NA,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,WI,522,2,0.38314176245210724,522,2,0.3831417624521072,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,WV,72,1,1.3888888888888888,72,1,1.3888888888888888,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN,WY,422,1,0.23696682464454977,422,1,0.23696682464454977,NA,NA,NA,NA,NA,NA,NA,NA
LINN,IA,5342,61,1.141894421564957,5342,61,1.141894421564957,NA,NA,NA,NA,NA,NA,NA,NA
LINN,KS,397,NA,NA,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LINN,MO,629,1,0.1589825119236884,629,1,0.1589825119236884,NA,NA,NA,NA,NA,NA,NA,NA
LINN,OR,1564,18,1.1508951406649617,1564,18,1.1508951406649617,NA,NA,NA,NA,NA,NA,NA,NA
LIPSCOMB,TX,190,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LITCHFIELD,CT,4356,34,0.7805325987144168,4356,34,0.7805325987144168,NA,NA,NA,NA,NA,NA,NA,NA
LITTLE RIVER,AR,226,NA,NA,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIVE OAK,TX,324,NA,NA,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIVINGSTON,IL,1296,3,0.23148148148148145,1296,3,0.23148148148148143,NA,NA,NA,NA,NA,NA,NA,NA
LIVINGSTON,KY,174,2,1.1494252873563218,174,2,1.1494252873563218,NA,NA,NA,NA,NA,NA,NA,NA
LIVINGSTON,LA,2249,42,1.8674966651845264,2249,42,1.8674966651845264,NA,NA,NA,NA,NA,NA,NA,NA
LIVINGSTON,MI,3020,24,0.7947019867549668,3020,24,0.7947019867549668,NA,NA,NA,NA,NA,NA,NA,NA
LIVINGSTON,MO,497,1,0.2012072434607646,497,1,0.2012072434607646,NA,NA,NA,NA,NA,NA,NA,NA
LIVINGSTON,NY,843,8,0.9489916963226572,843,8,0.9489916963226572,NA,NA,NA,NA,NA,NA,NA,NA
LLANO,TX,364,1,0.27472527472527475,364,1,0.27472527472527475,NA,NA,NA,NA,NA,NA,NA,NA
LOGAN,AR,505,NA,NA,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOGAN,CO,786,1,0.1272264631043257,786,1,0.1272264631043257,NA,NA,NA,NA,NA,NA,NA,NA
LOGAN,IL,686,NA,NA,686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOGAN,KS,293,NA,NA,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOGAN,KY,675,2,0.2962962962962963,675,2,0.2962962962962963,NA,NA,NA,NA,NA,NA,NA,NA
LOGAN,ND,282,NA,NA,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOGAN,NE,87,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOGAN,OH,726,2,0.27548209366391185,726,2,0.27548209366391185,NA,NA,NA,NA,NA,NA,NA,NA
LOGAN,OK,911,6,0.6586169045005488,911,6,0.6586169045005488,NA,NA,NA,NA,NA,NA,NA,NA
LOGAN,WV,338,1,0.2958579881656805,338,1,0.2958579881656805,NA,NA,NA,NA,NA,NA,NA,NA
LOIZA,PR,69,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LONG,GA,185,3,1.6216216216216217,185,3,1.6216216216216215,NA,NA,NA,NA,NA,NA,NA,NA
LONOKE,AR,1043,12,1.1505273250239694,1043,12,1.1505273250239694,NA,NA,NA,NA,NA,NA,NA,NA
LORAIN,OH,5005,51,1.0189810189810191,5005,51,1.0189810189810191,NA,NA,NA,NA,NA,NA,NA,NA
LOS ALAMOS,NM,206,1,0.48543689320388345,206,1,0.48543689320388345,NA,NA,NA,NA,NA,NA,NA,NA
LOS ANGELES,CA,300032,1,3.332977815699659e-4,300032,1,3.332977815699659e-4,NA,NA,NA,NA,NA,NA,NA,NA
LOUDON,TN,774,13,1.6795865633074936,774,13,1.6795865633074936,NA,NA,NA,NA,NA,NA,NA,NA
LOUDOUN,VA,8903,176,1.9768617320004493,8903,176,1.9768617320004491,NA,NA,NA,NA,NA,NA,NA,NA
LOUISA,IA,444,NA,NA,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOUISA,VA,360,3,0.8333333333333334,360,3,0.8333333333333334,NA,NA,NA,NA,NA,NA,NA,NA
LOUP,NE,96,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOVE,OK,257,NA,NA,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOWNDES,AL,278,2,0.7194244604316548,278,2,0.7194244604316548,NA,NA,NA,NA,NA,NA,NA,NA
LOWNDES,GA,3327,43,1.2924556657649533,3327,43,1.2924556657649533,NA,NA,NA,NA,NA,NA,NA,NA
LOWNDES,MS,2260,27,1.1946902654867257,2260,27,1.1946902654867255,NA,NA,NA,NA,NA,NA,NA,NA
LUBBOCK,TX,6320,53,0.8386075949367088,6320,53,0.8386075949367088,NA,NA,NA,NA,NA,NA,NA,NA
LUCAS,IA,345,2,0.5797101449275363,345,2,0.5797101449275363,NA,NA,NA,NA,NA,NA,NA,NA
LUCAS,OH,11801,143,1.211761715108889,11801,143,1.211761715108889,NA,NA,NA,NA,NA,NA,NA,NA
LUCE,MI,60,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUMPKIN,GA,351,11,3.133903133903134,351,11,3.133903133903134,NA,NA,NA,NA,NA,NA,NA,NA
LUNA,NM,386,2,0.5181347150259068,386,2,0.5181347150259068,NA,NA,NA,NA,NA,NA,NA,NA
LUNENBURG,VA,135,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUQUILLO,PR,198,NA,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUZERNE,PA,5180,49,0.945945945945946,5180,49,0.945945945945946,NA,NA,NA,NA,NA,NA,NA,NA
LYCOMING,PA,1794,10,0.5574136008918618,1794,10,0.5574136008918618,NA,NA,NA,NA,NA,NA,NA,NA
LYMAN,SD,374,NA,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LYNCHBURG CITY,VA,1466,17,1.1596180081855387,1466,17,1.1596180081855387,NA,NA,NA,NA,NA,NA,NA,NA
LYNN,TX,138,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LYON,IA,1066,NA,NA,1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LYON,KS,860,NA,NA,860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LYON,KY,143,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LYON,MN,1524,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LYON,NV,485,NA,NA,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MACKINAC,MI,292,1,0.3424657534246575,292,1,0.3424657534246575,NA,NA,NA,NA,NA,NA,NA,NA
MACOMB,MI,17819,240,1.3468769291206015,17819,240,1.3468769291206015,NA,NA,NA,NA,NA,NA,NA,NA
MACON,AL,389,12,3.0848329048843186,389,12,3.0848329048843186,NA,NA,NA,NA,NA,NA,NA,NA
MACON,GA,359,4,1.1142061281337048,359,4,1.1142061281337048,NA,NA,NA,NA,NA,NA,NA,NA
MACON,IL,2602,24,0.9223674096848578,2602,24,0.9223674096848578,NA,NA,NA,NA,NA,NA,NA,NA
MACON,MO,589,2,0.3395585738539898,589,2,0.3395585738539898,NA,NA,NA,NA,NA,NA,NA,NA
MACON,NC,616,NA,NA,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MACON,TN,724,NA,NA,724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MACOUPIN,IL,1267,2,0.15785319652722968,1267,2,0.15785319652722968,NA,NA,NA,NA,NA,NA,NA,NA
MADERA,CA,1629,NA,NA,1629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,AL,8165,114,1.3962033067973056,8165,114,1.3962033067973056,NA,NA,NA,NA,NA,NA,NA,NA
MADISON,AR,432,NA,NA,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
